analysis_type,dataset,method,dimension,budget,budget_spent,failure_recall_mean,failure_cluster_coverage_mean,boundary_coverage_mean,boundary_enrichment_mean,coverage_radius_mean,compactness_score,pareto_metric_count
static_boundary,cobalt_threshold1,fps,16,12,12.0,0.2028571428571428,1.0,0.02,0.1,14.941560723814144,-14.941560723814144,5
static_boundary,cobalt_threshold1,ward,16,12,12.0,0.2,1.0,0.0666666666666666,0.3333333333333333,8.482318345386094,-8.482318345386094,5
static_boundary,cobalt_threshold1,weighted_itr_cvt,full,12,12.0,0.1771428571428571,0.7625,0.1833333333333333,0.9166666666666666,19.8825149635514,-19.8825149635514,5
static_boundary,cobalt_threshold1,fps,full,12,12.0,0.2114285714285714,1.0,0.0233333333333333,0.1166666666666666,25.72611409744369,-25.72611409744369,5
static_boundary,cobalt_threshold1,random,tanimoto,12,12.0,0.1914285714285714,0.725,0.19375,0.96875,0.5437293727088492,-0.5437293727088492,5
static_boundary,cobalt_threshold1,weighted_itr_cvt,tanimoto,12,12.0,0.1714285714285714,0.75,0.25,1.25,0.4913591468428002,-0.4913591468428002,5
static_boundary,cobalt_threshold1,fps,tanimoto,12,12.0,0.2142857142857142,0.875,0.11875,0.59375,0.5517425538016217,-0.5517425538016217,5
static_boundary,cobalt_threshold1,kennard_stone,tanimoto,12,12.0,0.2,1.0,0.0625,0.3125,0.5594577933368808,-0.5594577933368808,5
static_boundary,cobalt_threshold1,repulsive_fps,tanimoto,12,12.0,0.2028571428571428,0.825,0.1625,0.8125,0.5581636692082916,-0.5581636692082916,5
static_boundary,cobalt_threshold30,random,2,12,12.0,0.2083333333333333,0.525,0.1966666666666666,0.9833333333333334,2.3707929608848417,-2.3707929608848417,5
static_boundary,cobalt_threshold30,kennard_stone,2,12,12.0,0.1666666666666666,1.0,0.0666666666666666,0.3333333333333333,1.0515986603189538,-1.0515986603189538,5
static_boundary,cobalt_threshold30,random,8,12,12.0,0.2069444444444444,0.35,0.2333333333333333,1.1666666666666663,7.139740191981284,-7.139740191981284,5
static_boundary,cobalt_threshold30,cvt,8,12,12.0,0.1861111111111111,1.0,0.0833333333333333,0.4166666666666666,4.361796647612854,-4.361796647612854,5
